Title,Description,Source,Published At
Paris votes to crack down on SUVs,"Parisians have voted to increase parking charges for out-of-town SUV drivers as part of the city’s efforts to address road safety, air pollution, and climate change.",The Verge,2024-02-05T12:24:14Z
NASA’s new mission will study microscopic plankton and aerosols from space,"A new NASA mission will study microscopic plant life and particles from space to gather data on climate change, air quality, and ocean health.",The Verge,2024-02-08T19:12:39Z
Inside the Beef Industry’s Campaign to Influence Schoolchildren,Big Beef is wooing science teachers with webinars and lesson plans in an attempt to change students’ perceptions of the industry.,Wired,2024-02-01T12:00:00Z
Why a Supreme Court decision on fishing boats could change everything,"The Supreme Court is poised to gut a key legal doctrine called Chevron deference, potentially making it harder for federal agencies to regulate industries from guns to fossil fuels to broadband.",The Verge,2024-01-20T13:00:00Z
The Fossil Fuel Industry Knew About Climate Change Since 1954,"The Guardian reports:

The fossil fuel industry funded some of the world's most foundational climate science as early as 1954, newly unearthed documents have shown, including the early research of Charles Keeling, famous for the so-called ""Keeling curve"" that…",Slashdot.org,2024-02-04T12:34:00Z
Climate Change Cripples Panama Canal. Fixing it Could Take Years,"""Parched conditions have crippled a waterway that handles $270 billion a year in global trade,"" reports Bloomberg. ""And there are no easy solutions. 

""The Panama Canal Authority is weighing potential fixes that include an artificial lake to pump water into t…",Slashdot.org,2024-01-27T16:34:00Z
The World’s Essential Aquifers Are in Deep Trouble,"New research finds that the groundwater systems that hydrate your life are in rapid, sometimes accelerating decline around the globe. Here’s how to stop the retreat.",Wired,2024-01-24T16:00:00Z
Your next plane ride could be powered by used cooking oil. Here's how a refinery in Singapore is already helping to make it happen.,The vice president of a renewable fuels company explains how sustainable aviation fuel (SAF) will impact aviation and climate change.,Business Insider,2024-02-02T15:54:57Z
World's first year-long breach of key 1.5C warming limit,"The last 12 months were the hottest on record, temporarily sending the world past a deeply symbolic mark.",BBC News,2024-02-08T03:00:18Z
Climate denialists find new ways to monetize disinformation on YouTube,Majority of climate-denial content posted now does not violate YouTube's policy.,Ars Technica,2024-01-16T20:19:02Z
"Scientists explore whether to add a ""Category 6"" designation for hurricanes","Climate change is making powerful hurricanes more common. That may require adding a new official designation for the more intense storms, a new study suggests.",NPR,2024-02-06T18:21:48Z
Scientists say hurricanes are growing so powerful that we need to add a Category 6. Here's what that would look like.,"The hurricane wind speed scale needs a new Category 6, scientists say, as climate change intensifies tropical storms. Here's what that'd be like.",Business Insider,2024-02-06T22:12:54Z
Hollywood has been giving out climate change-focused awards for 33 years. Who knew?,"Now in its 33rd year, the Environmental Media Awards might be the most celebrity-studded awards ceremony you've never heard of.",NPR,2024-01-27T10:00:35Z
"Climate Change Behind Africa Cholera Surge, Top Health Officials Say",Africa's top health advisory body links the devastating cholera outbreak to extreme weather made worse by climate change.,Time,2024-01-31T17:20:24Z
2024 Must Be the Year for Exponential Climate Action,Five steps to move the world forward on fighting climate change in 2024.,Time,2024-01-16T19:17:41Z
Europe farmers protests: EU scraps plans to halve pesticide use,The announcement appears to be a concession to farmers who have been protesting tighter regulations.,BBC News,2024-02-06T19:15:42Z
The Boeing 737 Max Crisis Reignites Arguments Over Infant Safety on Planes,"A midair blowout on a Boeing 737 Max 9 showed seatbelts matter, but infants under two still aren’t required to have their own seats. Experts say changing the rules would make flying safer for children—but, counterintuitively, would result in more deaths.",Wired,2024-01-12T17:51:35Z
"War and climate change are the main obstacles to aggressive Fed rate cuts in 2024, strategists say",Tumult in the Middle East and a parched Panama Canal risk creating pandemic-like supply shocks that could stoke more inflation.,Business Insider,2024-01-14T13:15:01Z
Lauren Boebert’s Hot Take On The Cold Weather Goes Embarrassingly Awry,The Colorado Republican was schooled over a climate change post on X.,HuffPost,2024-01-15T07:21:06Z
A Group of Trolling Gen-Z Voters Is Buying Up GOP Domains,"“Since Trump and Haley won’t accurately inform young people of their views, we will.”",Wired,2024-01-22T14:42:08Z
Apocalyptic Optimism Could Be the Antidote for Climate Fatalism,"If we embrace the reality that things will get worse before they get better, we will be equipped to fight climate change.",Time,2024-01-24T12:00:00Z
Why the war in Ukraine is bad for climate science,"The invasion of Ukraine hampered collaboration with Russian climate scientists. That's bad news for our collective ability to understand, and prepare for, a hotter planet.",NPR,2024-01-22T16:13:51Z
